case,layout,group,strict_success,final_xy_mm,final_so3_rad,sim_s,wall_s,video,c1_violation,hard_collision_steps,acceptable_target_force_peak_n,acceptable_force_norm_integral_ns,acceptable_contact_gt2mN_s,ranking_changes,ranking_events,core_volume_query_s,stop_reason
010,optional_contact,soft,True,19.372646027501137,0.0238545526137498,24.75,179.81365631194785,True,False,0,0.0,0.0,0.0,2,2,0.046110016759485006,strict_pose_dwell_success
011,optional_contact,hard,True,13.42821661625714,0.09556773386433033,23.229166666666668,95.72395883593708,False,False,0,0.02014201134443283,0.030983538506552576,4.808333333333334,0,2,0.042471328750252724,strict_pose_dwell_success
011,optional_contact,soft,True,19.371872705072533,0.023508605121573635,24.75,98.2287275432609,False,False,0,0.0,0.0,0.0,2,2,0.04431002074852586,strict_pose_dwell_success
012,optional_contact,hard,True,13.377490223081974,0.09568286922284855,23.229166666666668,95.91814094781876,False,False,0,0.020952818915247917,0.031220267707734214,4.783333333333333,0,2,0.042679541278630495,strict_pose_dwell_success
012,optional_contact,soft,True,19.35850175499578,0.023150908254881596,24.75,98.92503036325797,False,False,0,0.0,0.0,0.0,2,2,0.04450749512761831,strict_pose_dwell_success
013,optional_contact,hard,True,13.402463749869279,0.09576742062429022,23.233333333333334,96.47139099007472,False,False,0,0.01927397958934307,0.03048028612975031,4.708333333333333,0,2,0.04288467299193144,strict_pose_dwell_success
013,optional_contact,soft,True,19.39263695069148,0.02410554863333317,24.754166666666666,102.57838855823502,False,False,0,0.0,0.0,0.0,2,2,0.045178904198110104,strict_pose_dwell_success
014,optional_contact,hard,True,13.433418325678318,0.0952753102227345,23.225,96.02632702793926,False,False,0,0.020170783624053,0.03130373437161325,4.8625,0,2,0.04285630863159895,strict_pose_dwell_success
014,optional_contact,soft,True,19.605414654414428,0.031855296065060296,24.458333333333332,99.23323842184618,False,False,0,0.0,0.0,0.0,2,2,0.043885013554245234,strict_pose_dwell_success
015,bowl_sponge,hard,True,12.840428858519193,0.09687965235059323,23.445833333333333,162.46413639187813,True,False,0,0.0,0.0,0.0,0,2,0.023641761392354965,strict_pose_dwell_success
015,bowl_sponge,soft,True,12.840428858519193,0.09687965235059323,23.445833333333333,162.47013835702091,True,False,0,0.0,0.0,0.0,0,2,0.023748851846903563,strict_pose_dwell_success
016,bowl_sponge,hard,True,12.870927137827541,0.09640217032102195,23.441666666666666,96.27111071487889,False,False,0,0.0,0.0,0.0,0,2,0.023291968274861574,strict_pose_dwell_success
016,bowl_sponge,soft,True,12.870927137827541,0.09640217032102195,23.441666666666666,96.06538348877802,False,False,0,0.0,0.0,0.0,0,2,0.02369994902983308,strict_pose_dwell_success
017,bowl_sponge,hard,True,12.859953728879974,0.09633844285831893,23.441666666666666,97.1745797819458,False,False,0,0.0,0.0,0.0,0,2,0.023672801442444324,strict_pose_dwell_success
017,bowl_sponge,soft,True,12.859953728879974,0.09633844285831893,23.441666666666666,100.17550032399595,False,False,0,0.0,0.0,0.0,0,2,0.02389997523277998,strict_pose_dwell_success
018,bowl_sponge,hard,True,12.844912417120993,0.09677973649643032,23.445833333333333,103.02754712104797,False,False,0,0.0,0.0,0.0,0,2,0.02387684630230069,strict_pose_dwell_success
018,bowl_sponge,soft,True,12.844912417120993,0.09677973649643032,23.445833333333333,93.47684050304815,False,False,0,0.0,0.0,0.0,0,2,0.023171437438577414,strict_pose_dwell_success
019,bowl_sponge,hard,True,12.856877341619116,0.09674535771137646,23.445833333333333,96.52475123014301,False,False,0,0.0,0.0,0.0,0,2,0.02316408371552825,strict_pose_dwell_success
019,bowl_sponge,soft,True,12.856877341619116,0.09674535771137646,23.445833333333333,101.9271819582209,False,False,0,0.0,0.0,0.0,0,2,0.029334998689591885,strict_pose_dwell_success
